
id,name,category,calories,protein,carbs,fat,fiber,unit,image
1,Poulet grillé,proteins,231,43.5,0,5.0,0,100g,https://images.unsplash.com/photo-1532550907401-a500c9a57435?w=150&h=150&fit=crop
2,Saumon grillé,proteins,206,28.1,0,9.3,0,100g,https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=150&h=150&fit=crop
3,Bœuf maigre,proteins,250,26.0,0,15.0,0,100g,https://images.unsplash.com/photo-1588347818134-c6ce9d7840cf?w=150&h=150&fit=crop
4,Thon en conserve,proteins,144,25.4,0,4.9,0,100g,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=150&h=150&fit=crop
5,Œufs,proteins,155,13.0,1.1,11.0,0,100g,https://images.unsplash.com/photo-1506976785307-8732e854ad03?w=150&h=150&fit=crop
6,Tofu,proteins,76,8.0,1.9,4.8,0.3,100g,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=150&h=150&fit=crop
7,Avoine,grains,389,16.9,66.3,6.9,10.6,100g,https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?w=150&h=150&fit=crop
8,Riz complet,grains,123,2.6,23.0,0.9,1.8,100g,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=150&h=150&fit=crop
9,Quinoa,grains,120,4.4,21.3,1.9,2.8,100g,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=150&h=150&fit=crop
10,Pâtes complètes,grains,131,4.6,25.0,1.4,3.5,100g,https://images.unsplash.com/photo-1621996346565-e3dbc353d30e?w=150&h=150&fit=crop
11,Pain complet,grains,247,13.0,41.0,4.2,7.0,100g,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=150&h=150&fit=crop
12,Brocolis,vegetables,25,2.6,4.4,0.4,2.4,100g,https://images.unsplash.com/photo-1459411621453-7b03977f4bfc?w=150&h=150&fit=crop
13,Épinards,vegetables,20,2.0,3.0,0.3,2.2,100g,https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=150&h=150&fit=crop
14,Carottes,vegetables,35,0.9,7.6,0.2,2.8,100g,https://images.unsplash.com/photo-1445282768818-728615cc910a?w=150&h=150&fit=crop
15,Courgettes,vegetables,20,1.2,3.4,0.2,1.0,100g,https://images.unsplash.com/photo-1566385101042-1a0aa0c1268c?w=150&h=150&fit=crop
16,Tomates,vegetables,18,0.9,3.9,0.2,1.2,100g,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=150&h=150&fit=crop
17,Poivrons,vegetables,26,1.0,6.0,0.3,2.5,100g,https://images.unsplash.com/photo-1563565375-f3fdfdbefa83?w=150&h=150&fit=crop
18,Banane,fruits,89,1.1,22.8,0.3,2.6,1 unité,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=150&h=150&fit=crop
19,Pomme,fruits,52,0.3,13.8,0.2,2.4,1 unité,https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=150&h=150&fit=crop
20,Orange,fruits,47,0.9,11.8,0.1,2.4,1 unité,https://images.unsplash.com/photo-1547036967-23d11aacaee0?w=150&h=150&fit=crop
21,Fraises,fruits,32,0.7,7.7,0.3,2.0,100g,https://images.unsplash.com/photo-1464965911861-746a04b4bca6?w=150&h=150&fit=crop
22,Avocat,fruits,160,2.0,8.5,14.7,6.7,100g,https://images.unsplash.com/photo-1523049673857-eb18f1d7b578?w=150&h=150&fit=crop
23,Lait écrémé,dairy,34,3.4,4.7,0.1,0,200ml,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=150&h=150&fit=crop
24,Yaourt grec,dairy,97,10.0,3.6,5.0,0,100g,https://images.unsplash.com/photo-1488477181946-6428a0291777?w=150&h=150&fit=crop
25,Fromage blanc,dairy,40,7.5,3.2,0.2,0,100g,https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d?w=150&h=150&fit=crop
26,Huile d'olive,fats,884,0,0,100,0,100ml,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=150&h=150&fit=crop
27,Amandes,fats,579,21.2,21.6,49.9,12.5,100g,https://images.unsplash.com/photo-1508736793122-f516e3ba5569?w=150&h=150&fit=crop
28,Noix,fats,654,15.2,13.7,65.2,6.7,100g,https://images.unsplash.com/photo-1553909489-cd47e0ef937f?w=150&h=150&fit=crop
29,Graines de tournesol,fats,584,20.8,20.0,51.5,8.6,100g,https://images.unsplash.com/photo-1509358271058-acd22cc93898?w=150&h=150&fit=crop
30,Barre protéinée,snacks,450,20.0,40.0,25.0,5.0,1 barre,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=150&h=150&fit=crop
